ac_number,candidate,party,votes,turnout,party_std,constituency,district,region,reserved
10,SENTHIL KUMAR. N,TVK,110067,79.21,TVK,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,SUNDARARAJ. L,CPI(M),56503,79.21,CPIM,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,KUPPAN. K,AIADMK,28320,79.21,AIADMK,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,SATHYA. B,NTK,8413,79.21,NTK,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,MICHAELRAJ. M. A,IND,838,79.21,IND,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,NOTA,NOTA,805,79.21,NOTA,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,MAHENDRA KUMAR. D,Bahujan Samaj Party,458,79.21,BSP,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,VIJAY. A,IND,316,79.21,IND,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,BALARUBAN,IND,307,79.21,IND,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,SASIREKHA. M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,271,79.21,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,DILLI KUMAR. R,Democratic National Allegiance,198,79.21,Democratic National Allegiance,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,VENKATARAMANAN. J,Tamizhaga Vaazhvurimai Katchi,149,79.21,Tamizhaga Vaazhvurimai Katchi,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,THANIKASALAM. B,IND,139,79.21,IND,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,GOPI. K,IND,117,79.21,IND,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,JANAGARAJ,IND,110,79.21,IND,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
10,ARAVIND. R,IND,77,79.21,IND,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
11,N. MARIE WILSON,TVK,97800,85.66,TVK,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,J. JOHN EBENEZER,DMK,48132,85.66,DMK,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,R.S.RAAJESH,AIADMK,26892,85.66,AIADMK,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,VENNILA.T,NTK,5364,85.66,NTK,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,NOTA,NOTA,561,85.66,NOTA,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,B.NAVIN,Tamizhaga Vaazhvurimai Katchi,338,85.66,Tamizhaga Vaazhvurimai Katchi,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,E. RAAMADASAN,Makkal Nalvaazhvuk Katchi,236,85.66,Makkal Nalvaazhvuk Katchi,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,D.PRABHU,IND,211,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,A.MOHANRAJ,Socialist Unity Centre Of India (COMMUNIST),179,85.66,Socialist Unity Centre Of India (COMMUNIST),Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,J.SARAVANAKUMAR,IND,149,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,M. SATHISH,IND,112,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,K. MURALI,IND,91,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,V.SUDHAKAR,IND,86,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,A.VIJAY,IND,71,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,C. RAJAMANICKAM,IND,65,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,G. VIJAY,IND,58,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,L.SARAVANAN,IND,54,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,G. BOTHI RAJAN,IND,54,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,CHANDRASEKAR,Tamizhaga Murpokku Makkal Katchi,47,85.66,Tamizhaga Murpokku Makkal Katchi,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,MANIKANDAN.H,IND,47,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,J.MURALI KRISHNAN,IND,47,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,D.KARTHIKEYAN,Samata Party,44,85.66,Samata Party,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,R.ETHIRAJ,IND,44,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,C.JANARTHANAN,IND,42,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,A. USHA,IND,41,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,V.SHANKAR,IND,40,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,R.DEVAKUMAR,IND,40,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,R. MUTHU CHELLA BHARATHI,IND,39,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,D. JANARTHANAN,IND,37,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,R.TAMILARASAN,IND,36,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,V. MADHAN MOHAN,IND,35,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,P. MARIMUTHU,IND,35,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,D. AJITH KUMAR,IND,32,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,AMUDHA.N,IND,30,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,J.VIJAYAN,IND,26,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,K. SUJITH,IND,25,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,TAMILSELVAN,IND,25,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,S.EMMANUVEL,IND,24,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
11,G. MADHAN KUMAR,IND,17,85.66,IND,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
12,C. JOSEPH VIJAY,TVK,120365,75.77,TVK,Perambur,Chennai,Chennai Metro,GEN
12,R.D. SHEKAR,DMK,66650,75.77,DMK,Perambur,Chennai,Chennai Metro,GEN
12,M. THILAGABAMA,PMK,8561,75.77,PMK,Perambur,Chennai,Chennai Metro,GEN
12,S. VETRI THAMIZHAN,NTK,5114,75.77,NTK,Perambur,Chennai,Chennai Metro,GEN
12,NOTA,NOTA,601,75.77,NOTA,Perambur,Chennai,Chennai Metro,GEN
12,A. RAJARAM,Republican Party of India (Athawale),256,75.77,Republican Party of India (Athawale),Perambur,Chennai,Chennai Metro,GEN
12,G. RUTHRA KUMAR,IND,238,75.77,IND,Perambur,Chennai,Chennai Metro,GEN
12,AGNI AALVAR,IND,230,75.77,IND,Perambur,Chennai,Chennai Metro,GEN
12,VIJAY,All India Jananayaka Makkal Kazhagam,216,75.77,All India Jananayaka Makkal Kazhagam,Perambur,Chennai,Chennai Metro,GEN
12,VETRI VEL SELVAM,Bahujan Samaj Party,174,75.77,BSP,Perambur,Chennai,Chennai Metro,GEN
12,V. RAJI,IND,148,75.77,IND,Perambur,Chennai,Chennai Metro,GEN
12,BOWDHARAJ,IND,118,75.77,IND,Perambur,Chennai,Chennai Metro,GEN
12,J. SEBASTIN,Socialist Unity Centre Of India (COMMUNIST),101,75.77,Socialist Unity Centre Of India (COMMUNIST),Perambur,Chennai,Chennai Metro,GEN
12,D.V. VENUGOPAL,Tamizhaga Vaazhvurimai Katchi,98,75.77,Tamizhaga Vaazhvurimai Katchi,Perambur,Chennai,Chennai Metro,GEN
12,DR.D. MADAN,IND,95,75.77,IND,Perambur,Chennai,Chennai Metro,GEN
12,K.M. DEVAN,Makkal Murasu Katchi,94,75.77,Makkal Murasu Katchi,Perambur,Chennai,Chennai Metro,GEN
12,B. BALAJI,IND,93,75.77,IND,Perambur,Chennai,Chennai Metro,GEN
12,VIJAY. G,IND,90,75.77,IND,Perambur,Chennai,Chennai Metro,GEN
12,AZARUTHEEN.M,IND,78,75.77,IND,Perambur,Chennai,Chennai Metro,GEN
12,P. THANGAMANI,IND,78,75.77,IND,Perambur,Chennai,Chennai Metro,GEN
12,S. JOSEPH,IND,77,75.77,IND,Perambur,Chennai,Chennai Metro,GEN
